;;;;;;;;;;
;;;;;;;;;;
Grupos;Subgrupo;Indicador;Prazo;Método de cálculo;Descrição;Nível de complexidade de atenção;Esfera de governo;Sistema de informação;Referência;Observações da equipe do projeto
Grupo 3 - Neonatal;Indicadores sobre DESFECHOS de Saúde Pública ;Coeficiente de mortalidade neonatal;18/10/2024;Nº de óbitos de RN (por período de óbito) em determinado ano e local de residência / Nº de NV nesse mesmo local e ano x 1.000;Óbito neonatal precoce (de 0 a 6 dias de vida) e tardio (de 7 a 27 dias de vida) num determinado ano e local de residência;Atenção básica, média e alta complexidade;Município;SIM/SINASC;Indicadores estratégicos para a rede cegonha: Disponível em: https://www.saude.sc.gov.br/index.php/informacoes-gerais-documentos/redes-de-atencao-a-saude-2/rede-aten-a-saude-materna-e-infantil-rede-cegonha/acervo-e-e-books/12365-indicadores-estrategicos-rede-cegonha/file. ;"Análise por faixa etária, IG, peso ao nascer, tipo de parto, raça/cor; quando aplicável"
Grupo 3 - Neonatal;Indicadores sobre DESFECHOS de Saúde Pública ;Taxa bruta de natalidade;18/10/2024;"Número total de NV
residentes / População total
residente (x 1.000)";Número de NV, por mil habitantes, na população residente em determinado espaço geográfico, no ano considerado;Atenção básica, média e alta complexidade;Município;SINASC;Rede Interagencial de Informações para Saúde RIPSA. Matriz de Indicadores. Disponivél em: https://www.ripsa.org.br/wp-content/uploads/2023/11/Matriz-de-indicadores.pdf. ;
Grupo 3 - Neonatal;Indicadores sobre DESFECHOS de Saúde Pública ;Taxa de incidência de sífilis congênita em neonatos *;18/10/2024;"Nº de casos novos confirmados de sífilis
congênita em neonatos, em determinado local de residência e ano de diagnóstico / N° total de NV nesse mesmo período e local de residência x 1.000";"Número de casos de sífilis congênita
diagnosticados em menores de 1
ano de idade em um determinado
ano e local de residência";Atenção básica, média e alta complexidade;Município;SINAN/SINASC;Indicadores estratégicos para a rede cegonha: Disponível em: https://www.saude.sc.gov.br/index.php/informacoes-gerais-documentos/redes-de-atencao-a-saude-2/rede-aten-a-saude-materna-e-infantil-rede-cegonha/acervo-e-e-books/12365-indicadores-estrategicos-rede-cegonha/file. ;"Análise por faixa etária, IG, peso ao nascer, tipo de parto, raça/cor; quando aplicável"
Grupo 3 - Neonatal;Indicadores sobre DESFECHOS de Saúde Pública ;Incidência de tétano neonatal positivo ;18/10/2024;N° de neonatos com diagnóstico de tétano neonatal / N° total de NV x 1.000;"
Porcentagem de crianças com tétano neonatal, em relação ao total de NV

";Atenção básica, média e alta complexidade;Município;SINAN;TabNet: D.1.4 Incidência de tétano neonatal. http://tabnet.datasus.gov.br/cgi/idb2000/fqd01_4.htm;"Análise por faixa etária, IG, peso ao nascer, tipo de parto, raça/cor; quando aplicável"
Grupo 3 - Neonatal;Indicadores sobre DESFECHOS de Saúde Pública ;Proporção de HIV de transmissão vertical *;18/10/2024;Proporção de NV com diagnóstico de HIV por transmissão vertical / N° total de NV x 100;Transmissão vertical de HIV;Atenção Básica;Município;SINAN;Migoto, M. T., Oliveira, R. P. de ., & Freire, M. H. de S.. (2022). Validação de indicadores para monitoramento da qualidade do pré-natal. Escola Anna Nery, 26, e20210262. https://doi.org/10.1590/2177-9465-EAN-2021-0262;"Análise por faixa etária, IG, peso ao nascer, tipo de parto, raça/cor; quando aplicável"
Grupo 3 - Neonatal;Indicadores sobre PROCESSOS ASSISTENCIAIS ;Taxa de cobertura da Triagem Neonatal Ambulatorial (TAN, Teste da orelhinha, teste do coração, teste do olhinho) *;25/10/2024;N° total de NV que fez o TAN / N° total de NV;O MS determina uma cobertura de pelo menos 95% dos NV pelo TAN;Média complexidade;Município;SIA;Botasso, K. de C., Lima, M. C. M. P., & Correa, C. R. S.. (2022). Análise de um programa de saúde auditiva infantil ambulatorial: da triagem ao encaminhamento para reabilitação. Codas, 34(4), e20200403. https://doi.org/10.1590/2317-1782/20212020403;
Grupo 4 - Puerpério;Indicadores sobre ESTRUTURA e RECURSOS de Saúde Pública;Proporção de instituições com existência de alojamento conjunto **;11/10/2024;Nº de instituições com alojamento conjunto disponível / Nº total de instituições ;Distribuições percentural com alonjamento conjunto entre as instituições com serviços de atenção materno-infantil. O alojamento conjunto é uma recomedação da Politica Nacional de Atenção Integral à saúde da criança;Média/alta complexidade;Município;TABWIN - CNES;PORTARIA Nº 2.068, DE 21 DE OUTUBRO DE 2016 https://bvsms.saude.gov.br/bvs/saudelegis/gm/2016/prt2068_21_10_2016.html;Método de cálculo indicado pelos pesquisadores
Grupo 4 - Puerpério;Indicadores sobre ESTRUTURA e RECURSOS de Saúde Pública;Proporção de óbitos maternos por local do óbito;11/10/2024;N° de óbitos maternos por local de ocorrência em um determinado período / N° total de óbitos maternos no mesmo período x 100;Distribuição percentual de óbitos maternos de acordo com o local de ocorrência (hospital, domicílio, via pública ou outro estabelecimento de saúde);"Atenção Básica; Média/alta complexidade";Município;SIM;"de Faria DR, de Sousa RC, da Costa TJNM, Leite ICG. Mortalidade materna em cidade-polo de assistência na região Sudeste: tendência temporal e determinantes sociais. Rev Med Minas Gerais 2012; 22(1): 1-128";Método de cálculo indicado pelos pesquisadores
Grupo 4 - Puerpério;Indicadores sobre ESTRUTURA e RECURSOS de Saúde Pública;Taxa de leitos obstétricos *;11/10/2024;N° de leitos obstétricos / N° total de NV x 1.000;Mensurar a quantidade unidades que possuem número de leitos obstétricos que está de acordo com o preconizado em portarias do MS.;Alta complexidade;Estado/Município;TABWIN - CNES;Indicadores de Análise de Situação de Saúde da Rede de Atenção Materna e Neonatal: https://www.as.saude.ms.gov.br/wp-content/uploads/2021/11/Documento-Orientação-Indicadores-Saude-Materna-e-Infantil_v13-Ago-21-1-1-1-1.pdf;Método de cálculo indicado pelos pesquisadores
Grupo 4 - Puerpério;Indicadores sobre ESTRUTURA e RECURSOS de Saúde Pública;Taxa de leitos em UTI adulto *;11/10/2024;N° de leitos de UTI adulto / N° total de NV x 1.000;Mensurar a quantidade unidades que possuem número de leitos em UTI adulto que está de acordo com o preconizado em portarias do MS.;Alta complexidade;Estado/Município;TABWIN - CNES;Indicadores de Análise de Situação de Saúde da Rede de Atenção Materna e Neonatal: https://www.as.saude.ms.gov.br/wp-content/uploads/2021/11/Documento-Orientação-Indicadores-Saude-Materna-e-Infantil_v13-Ago-21-1-1-1-1.pdf;Método de cálculo indicado pelos pesquisadores
